"","h2","temperature","trait.variation","replicates","mean_animal_trait","mean_plant_trait","mean_community_trait","animal_biomass","plant_biomass","community_biomass","animal_richness","plant_richness","community_richness","temp_of_collapse","abruptness"
"1",0,15,"high",1,19.1288552636979,17.918803897143,18.2213167387818,1.11583692139549,4.2549717517047,5.37080867310019,3,10,13,0,0
"2",0.4,15,"high",1,15,15.440251995201,15.3301889964008,5.80696288462443,12.1757296260557,17.9826925106802,4,10,14,0,0
"3",0,16,"high",1,17.1040684782201,19.1382706805598,18.6297201299749,1.7830558121455,4.46361223125137,6.24666804339687,4,11,15,0,0
"4",0.4,16,"high",1,16,16,16,12.3553243025844,38.6256755106412,50.9809998132256,5,18,23,0,0
"5",0,17,"high",1,17.5520115409745,17.8765604169651,17.7954231979675,0.637833124317662,4.55812866908194,5.19596179339961,3,11,14,0,0
"6",0.4,17,"high",1,17,17,17,10.8581154032865,31.5678417850603,42.4259571883468,5,16,21,0,0
"7",0,18,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,1.67736786145059,3.35906099217516,5.03642885362575,5,10,15,0,0
"8",0.4,18,"high",1,18,18,18,12.7314666890904,33.5000586753441,46.2315253644345,6,17,23,0,0
"9",0,19,"high",1,19.4366447161883,16.8149346586627,17.4703621730441,2.02991478952649,6.13277644251261,8.1626912320391,6,14,20,0,0
"10",0.4,19,"high",1,17.9912032098082,19,18.747800802452,4.19657863005269,16.3691937855949,20.5657724156476,4,11,15,0,0
"11",0,20,"high",1,16.5672669553896,17.403737573962,17.1946199193189,0.87296147612936,1.36233821592081,2.23529969205017,3,7,10,0,0
"12",0.4,20,"high",1,20,19.4952170769741,19.6214128077306,6.12510172380506,18.3071516262457,24.4322533500507,4,16,20,0,0
"13",0,21,"high",1,15.7748276361963,18.1411577743711,17.5495752398274,1.26433179133255,4.67657929758738,5.94091108891993,2,12,14,0,0
"14",0.4,21,"high",1,21,21,21,4.13205954615127,16.7358365313076,20.8678960774588,3,14,17,0,0
"15",0,22,"high",1,19.1150599351386,19.0346246003173,19.0547334340226,1.4899738924705,5.27366426443308,6.76363815690357,4,14,18,0,0
"16",0.4,22,"high",1,18.7195883241035,20.1569191950801,19.797586477336,2.51185976461216,4.30320692131964,6.8150666859318,3,8,11,0,0
"17",0,23,"high",1,19.011546196416,17.3349198697057,17.7540764513833,0.671323224779932,2.80822087927894,3.47954410405887,2,7,9,0,0
"18",0.4,23,"high",1,19.9343523764437,19.5603716006952,19.6538667946323,1.80293069395138,4.17511624228825,5.97804693623963,3,7,10,0,0
"19",0,24,"high",1,17.2073029266903,16.7742517390676,16.8825145359733,0.481583692297464,1.61526032801304,2.0968440203105,2,6,8,0,0
"20",0.4,24,"high",1,24,19.7047059441441,20.7785294581081,1.63627033932626,3.56877501030538,5.20504534963164,3,7,10,0,0
"21",0,25,"high",1,15.1855951885227,18.3497584585954,17.5587176410772,0.334149229327439,1.46487442134915,1.79902365067659,1,5,6,0,0
"22",0.4,25,"high",1,20.0278585787807,19.4666312612917,19.6069380906639,0.273206364779186,1.09584772955981,1.369054094339,1,4,5,0,0
"23",0,26,"high",1,16.1551098537166,15.6342529136843,15.7644671486923,-2.15029575729431e-06,0.144220849020337,0.14421869872458,0,1,1,0,0
"24",0.4,26,"high",1,23.7100407768574,19.4520020221911,20.5165117108576,2.19269297984345,3.46071926639903,5.65341224624248,4,7,11,0,0
"25",0,27,"high",1,18.3918241562787,16.8395500926999,17.2276186085946,0.065798609252409,0.37037528646864,0.436173895721049,1,4,5,0,0
"26",0.4,27,"high",1,14.1268738447415,18.5458146715114,17.441079464819,9.07304124360903e-10,0.490813580857679,0.490813581764983,0,2,2,0,0
"27",0,28,"high",1,14.4897797866724,16.1531898418131,15.7373373280279,-3.00683960241752e-09,0.0461235736574699,0.0461235706506303,0,1,1,0,0
"28",0.4,28,"high",1,16.5821007935098,20.2729346786535,19.3502262073676,-2.31013270344229e-08,0.465554110533901,0.465554087432574,0,2,2,0,0
"29",0,29,"high",1,19.6311773598427,17.8839185859154,18.3207332793972,2.34801329479297e-10,-2.32371827347958e-09,-2.08891694400028e-09,0,0,0,0,0
"30",0.4,29,"high",1,23.6928715257708,19.4940761706524,20.543775009432,0.220860201876049,0.220758273799358,0.441618475675407,1,1,2,0,0
"31",0,30,"high",1,17.9779861861607,16.3887300914697,16.7860441151424,-1.48221052241759e-09,9.13969794778429e-10,-5.68240727639165e-10,0,0,0,0,0
"32",0.4,30,"high",1,15.8035161202075,18.372688125146,17.7303951239114,9.06659130301092e-10,0.209431100098684,0.209431101005344,0,1,1,0,0
"33",0,31,"high",1,16.1124580207979,16.4876226646205,16.3938315036648,-1.35526791122335e-08,-7.26002128771771e-08,-8.61528919894106e-08,0,0,0,0,0
"34",0.4,31,"high",1,23.2944007136632,21.073339796672,21.6286050259198,-1.79918861735219e-05,-3.95935485467936e-05,-5.75854347203155e-05,0,0,0,0,0
"35",0,32,"high",1,18.4503879403928,16.7575258321206,17.1807413591887,-1.32842878892463e-08,-6.11636733347841e-08,-7.44479612240304e-08,0,0,0,0,0
"36",0.4,32,"high",1,20.7723944588932,18.6736076872328,19.1983043801479,-6.42227199668149e-06,-2.16488612559867e-05,-2.80711332526682e-05,0,0,0,0,0
"37",0,33,"high",1,16.3207142305328,18.3151771432798,17.816561415093,-1.3195785189597e-08,-5.43955276315072e-08,-6.75913128211042e-08,0,0,0,0,0
"38",0.4,33,"high",1,17.7056372605675,16.1115778220072,16.5100926816473,-1.10939907067732e-08,-3.8567112235149e-08,-4.96611029419222e-08,0,0,0,0,0
"39",0,34,"high",1,17.3199663229752,18.1014997358822,17.9061163826555,-1.21705027964127e-08,-4.90252643468856e-08,-6.11957671432983e-08,0,0,0,0,0
"40",0.4,34,"high",1,19.6368611544959,20.9418291895196,20.6155871807637,-1.04242694345663e-08,-3.26874486142614e-08,-4.31117180488277e-08,0,0,0,0,0
"41",0,35,"high",1,17.3390939825913,16.5829703500882,16.772001258214,-1.44443494346376e-08,-4.39867674297772e-08,-5.84311168644148e-08,0,0,0,0,0
"42",0.4,35,"high",1,17.1199479718965,17.627846947467,17.5008722035744,-6.67250149304819e-09,-1.8465066913957e-08,-2.51375684070051e-08,0,0,0,0,0
"43",0,36,"high",1,17.3251617560163,17.9282622646618,17.7774871375004,-1.22996452315764e-08,-3.74357387879805e-08,-4.97353840195569e-08,0,0,0,0,0
"44",0.4,36,"high",1,18.4099210683446,16.908613693465,17.2839405371849,-6.63699321682242e-09,-2.11512380757993e-08,-2.77882312926217e-08,0,0,0,0,0
"45",0,37,"high",1,17.229008579161,17.8136291752647,17.6674740262388,-1.46276305565137e-08,-4.24032226646636e-08,-5.70308532211772e-08,0,0,0,0,0
"46",0.4,37,"high",1,18.1468405723737,16.8104574144477,17.1445532039292,-7.92284055148897e-09,-2.00546331821146e-08,-2.79774737336036e-08,0,0,0,0,0
"47",0,38,"high",1,18.0781142727938,17.2737620223779,17.4748500849819,-1.58155503600762e-08,-4.28371710570615e-08,-5.86527214171377e-08,0,0,0,0,0
"48",0.4,38,"high",1,16.6482119784304,18.6034502456275,18.1146406788282,-6.65677019533847e-09,-1.84813171399572e-08,-2.51380873352957e-08,0,0,0,0,0
"49",0,39,"high",1,20.1673237292562,17.7055226148029,18.3209728934162,-1.43617943217722e-08,-3.8359885913631e-08,-5.27216802354031e-08,0,0,0,0,0
"50",0.4,39,"high",1,17.4185237288748,17.7561185841563,17.6717198703359,-7.38131572302464e-09,-2.16660765241728e-08,-2.90473922471975e-08,0,0,0,0,0
"51",0,40,"high",1,17.4848589865724,15.6849472632166,16.1349251940555,-1.20854996353396e-08,-4.81801956242075e-08,-6.0265695259547e-08,0,0,0,0,0
"52",0.4,40,"high",1,17.4854066297803,14.3712384027206,15.1497804594855,-6.33536779885574e-09,-1.92020778154545e-08,-2.55374456143102e-08,0,0,0,0,0
"53",0,41,"high",1,15.9615872032009,14.887623169731,15.1561141780985,-1.28314580911836e-08,-4.03405256130405e-08,-5.31719837042241e-08,0,0,0,0,0
"54",0.4,41,"high",1,18.7559298782916,16.8161976829375,17.301130731776,-7.13871885221839e-09,-1.94216600614449e-08,-2.65603789136632e-08,0,0,0,0,0
"55",0,42,"high",1,13.0059066123795,16.0976854816545,15.3247407643357,-1.3303143593859e-08,-5.91734895478872e-08,-7.24766331417463e-08,0,0,0,0,0
"56",0.4,42,"high",1,18.0157169138761,17.578363962911,17.6877022006523,-6.10014644205682e-09,-1.81285814990567e-08,-2.42287279411135e-08,0,0,0,0,0
"57",0,43,"high",1,15.8584990521194,18.4923601243645,17.8338948563032,-1.28159473917386e-08,-5.23258249208035e-08,-6.5141772312542e-08,0,0,0,0,0
"58",0.4,43,"high",1,15.8399105704642,18.2621754309815,17.6566092158522,-7.6161531827489e-09,-2.80591284492513e-08,-3.56752816320002e-08,0,0,0,0,0
"59",0,44,"high",1,19.2808190075448,16.7409671187246,17.3759300909296,-1.38164102626554e-08,-4.13830533961426e-08,-5.5199463658798e-08,0,0,0,0,0
"60",0.4,44,"high",1,17.8920466748839,17.5093678177623,17.6050375320427,-7.18434457625323e-09,-2.15879800681817e-08,-2.87723246444349e-08,0,0,0,0,0
"61",0,45,"high",1,17.7825540193589,17.3230609996244,17.4379342545581,-1.39696603776791e-08,-5.30025132492033e-08,-6.69721736268824e-08,0,0,0,0,0
"62",0.4,45,"high",1,20.0184864195421,16.1722328422231,17.1337962365529,-6.8834426467996e-09,-1.88770147809553e-08,-2.57604574277549e-08,0,0,0,0,0
