"","h2","temperature","trait.variation","replicates","mean_animal_trait","mean_plant_trait","mean_community_trait","animal_biomass","plant_biomass","community_biomass","animal_richness","plant_richness","community_richness","temp_of_recovery","abruptness"
"1",0,45,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-5.7210912870742e-09,-2.6251781003299e-08,-3.19728722903732e-08,0,0,0,0,0
"2",0.4,45,"high",1,18,18,18,-8.92819938609237e-09,-3.19668180585129e-08,-4.08950174446053e-08,0,0,0,0,0
"3",0,44,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-1.69152100035965e-08,-3.93096500162195e-08,-5.6224860019816e-08,0,0,0,0,0
"4",0.4,44,"high",1,18,18,18,-9.42532310583699e-09,-3.50899686028505e-08,-4.45152917086875e-08,0,0,0,0,0
"5",0,43,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-7.16426725580109e-09,-2.45201682340589e-08,-3.16844354898599e-08,0,0,0,0,0
"6",0.4,43,"high",1,18,18,18,-5.58461327582411e-09,-2.8026744902595e-08,-3.36113581784191e-08,0,0,0,0,0
"7",0,42,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-5.50205072968582e-09,-3.2331076065765e-08,-3.78331267954508e-08,0,0,0,0,0
"8",0.4,42,"high",1,18,18,18,-1.64938826679305e-08,-2.11022763766115e-08,-3.7596159044542e-08,0,0,0,0,0
"9",0,41,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-2.86077272153518e-08,-4.67907700330715e-08,-7.53984972484232e-08,0,0,0,0,0
"10",0.4,41,"high",1,18,18,18,-8.71912038356758e-09,-3.05251783910626e-08,-3.92442987746301e-08,0,0,0,0,0
"11",0,40,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-9.18938102154769e-09,-2.7424968606053e-08,-3.66143496276007e-08,0,0,0,0,0
"12",0.4,40,"high",1,18,18,18,-7.98785225781423e-09,-4.08522270373248e-08,-4.8840079295139e-08,0,0,0,0,0
"13",0,39,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-9.12285977436577e-09,-2.19594070736241e-08,-3.10822668479898e-08,0,0,0,0,0
"14",0.4,39,"high",1,18,18,18,-1.63545149681488e-08,-2.5088429150882e-08,-4.14429441190308e-08,0,0,0,0,0
"15",0,38,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-6.28382237116449e-09,-2.37600146925965e-08,-3.0043837063761e-08,0,0,0,0,0
"16",0.4,38,"high",1,18,18,18,-9.70804526109311e-09,-3.08795553132321e-08,-4.05876005743252e-08,0,0,0,0,0
"17",0,37,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-7.81438522536924e-09,-1.92534497416819e-08,-2.70678349670512e-08,0,0,0,0,0
"18",0.4,37,"high",1,18,18,18,-6.77872877189934e-09,-3.02923129458735e-08,-3.70710417177728e-08,0,0,0,0,0
"19",0,36,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-1.59064716642063e-08,-5.34738612051529e-08,-6.93803328693592e-08,0,0,0,0,0
"20",0.4,36,"high",1,18,18,18,-9.14742741500636e-09,-2.47270638530229e-08,-3.38744912680293e-08,0,0,0,0,0
"21",0,35,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-2.6256340438791e-08,-6.32306275387475e-08,-8.94869679775385e-08,0,0,0,0,0
"22",0.4,35,"high",1,18,18,18,-9.89856412697606e-09,-5.21213420632765e-08,-6.20199061902525e-08,0,0,0,0,0
"23",0,34,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-1.93273163500719e-08,-2.45263722627558e-08,-4.38536886128277e-08,0,0,0,0,0
"24",0.4,34,"high",1,18,18,18,-9.39295779685838e-09,-2.3981920543752e-08,-3.33748783406104e-08,0,0,0,0,0
"25",0,33,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-1.55189244367864e-08,-5.07430930578419e-08,-6.62620174946283e-08,0,0,0,0,0
"26",0.4,33,"high",1,18,18,18,-7.95752002495061e-09,-3.37002613844905e-08,-4.16577814094411e-08,0,0,0,0,0
"27",0,32,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-1.59920900191151e-08,-2.86542862953323e-08,-4.46463763144474e-08,0,0,0,0,0
"28",0.4,32,"high",1,18.0000000000059,18.0000000000065,18.0000000000064,-8.56311515966842e-09,-3.2303981692176e-08,-4.08670968518445e-08,0,0,0,0,0
"29",0,31,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-1.29389904651881e-08,-5.81422004540026e-08,-7.10811909191907e-08,0,0,0,0,0
"30",0.4,31,"high",1,18.0000000004944,18.0000000007924,18.0000000007179,-6.60912113543142e-09,-2.67758613614252e-08,-3.33849824968566e-08,0,0,0,0,0
"31",0,30,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-1.27852404396366e-08,-4.06598134161799e-08,-5.34450538558165e-08,0,0,0,0,0
"32",0.4,30,"high",1,18.0000000349996,18.0000000501574,18.0000000463679,-9.02550896098462e-09,-2.55055820454171e-08,-3.45310910064017e-08,0,0,0,0,0
"33",0,29,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,-5.19477788928187e-08,-1.24695367151209e-07,-1.76643146044027e-07,0,0,0,0,0
"34",0.4,29,"high",1,18.0000023941057,18.0000022102691,18.0000022562283,-8.92854686240658e-09,-2.586503541634e-08,-3.47935822787466e-08,0,0,0,0,0
"35",0,28,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,0.0409650381064594,0.0121915068881735,0.0531565449946328,1,1,2,0,0
"36",0.4,28,"high",1,18.0000673717221,18.0000694177272,18.0000689062259,-1.09911537091137e-08,-2.80190466239077e-08,-3.90102003330214e-08,0,0,0,0,0
"37",0,27,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,0.152397836509818,0.294392903305211,0.446790739815028,1,4,5,0,0
"38",0.4,27,"high",1,18.0019497016782,18.0016900793711,18.0017549849479,-1.44799668836501e-08,-3.71526051966608e-08,-5.16325720803108e-08,0,0,0,0,0
"39",0,26,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,0.359021524725784,1.0959839988751,1.45500552360089,2,6,8,0,0
"40",0.4,26,"high",1,18.0275548942509,18.0295535784237,18.0290539073805,-4.5811224977347e-10,-9.40933106994238e-09,-9.86744331971585e-09,0,0,0,0,0
"41",0,25,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,0.642151289054158,2.20685380807155,2.8490050971257,2,8,10,0,0
"42",0.4,25,"high",1,21.6670408012083,21.2961240444413,21.3888532336331,-1.20214551212231e-08,-1.79217049129815e-08,-2.99431600342046e-08,0,0,0,0,0
"43",0,24,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,0.869580082460011,3.28623767663127,4.15581775909128,2,9,11,0,0
"44",0.4,24,"high",1,24,24,24,-3.11056838673354e-05,-9.71117223962033e-05,-0.000128217406263539,0,0,0,0,0
"45",0,23,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,0.944885785095394,3.76175173835819,4.70663752345359,2,9,11,0,0
"46",0.4,23,"high",1,23,23,23,-2.01930910858035e-05,-9.24145575238935e-05,-0.000112607648609697,0,0,0,0,0
"47",0,22,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,0.83464779592595,3.50936035195225,4.3440081478782,2,9,11,0,0
"48",0.4,22,"high",1,22,22,22,0.609941670006264,1.2616428908164,1.87158456082267,1,3,4,0,0
"49",0,21,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,0.821110703958822,2.96414463011554,3.78525533407436,5,11,16,0,0
"50",0.4,21,"high",1,21,20.9999999999999,21,12.1843551606083,34.115316823323,46.2996719839313,6,18,24,0,0
"51",0,20,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,1.06017262696167,2.6950544294349,3.75522705639657,5,11,16,0,0
"52",0.4,20,"high",1,19.9999999999999,19.9999999999999,19.9999999999999,12.6572188381084,35.3543254512784,48.0115442893868,6,18,24,0,0
"53",0,19,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,1.4829125491793,2.94555518250623,4.42846773168553,4,12,16,0,0
"54",0.4,19,"high",1,18.9999999999999,18.9999999999999,18.9999999999999,13.1363818571957,36.6138128719465,49.7501947291421,6,18,24,0,0
"55",0,18,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,1.67929258066798,3.36064481307581,5.03993739374379,5,10,15,0,0
"56",0.4,18,"high",1,18,18,18,13.6919697263342,38.064762785795,51.7567325121293,6,18,24,0,0
"57",0,17,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,1.65381967430843,3.2670866854923,4.92090635980073,4,9,13,0,0
"58",0.4,17,"high",1,17,17,17,14.2756074054768,39.5611328505265,53.8367402560033,6,18,24,0,0
"59",0,16,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,1.51656094368564,2.67915975340849,4.19572069709413,4,8,12,0,0
"60",0.4,16,"high",1,16,15.9999999999999,15.9999999999999,14.9084701507756,41.212639241884,56.1211093926596,6,18,24,0,0
"61",0,15,"high",1,19.3283155129757,17.5111128851616,17.9654135421151,1.29061101720778,1.8734978063998,3.16410882360758,4,7,11,0,0
"62",0.4,15,"high",1,15,15,15,15.64458658122,43.0873344435383,58.7319210247583,6,18,24,0,0
